#{"t_start": 1777239599.6482644, "env_id": "ALE/Freeway-v5"}
r,l,t
8.0,509,1504.190233
7.0,511,1509.116686
12.0,505,1514.065601
9.0,510,1518.859284
8.0,510,1524.027505
9.0,508,1529.132852
8.0,508,1534.165059
8.0,507,1539.197921
4.0,506,1544.518624
6.0,509,1549.590098
6.0,507,1555.561029
4.0,507,1562.142805
7.0,508,1567.699885
9.0,505,1573.31717
7.0,509,1578.532429
11.0,505,1584.568944
9.0,509,1591.480027
10.0,506,1599.316444
7.0,505,1609.697728
14.0,505,1618.717211
8.0,509,1628.075102
9.0,511,1633.683745
6.0,507,1639.429149
7.0,508,1645.161086
11.0,507,1650.779172
9.0,509,1656.574966
10.0,508,1662.750669
10.0,506,1668.227432
7.0,507,1673.6691
9.0,507,1679.174289
11.0,510,1684.810492
7.0,510,1689.377779
11.0,512,1694.161749
6.0,510,1699.265348
8.0,509,1704.356443
6.0,505,1709.42197
6.0,512,1714.365737
11.0,511,1719.424639
11.0,512,1724.316019
8.0,506,1729.359632
6.0,510,1734.193364
12.0,507,1739.176485
10.0,506,1744.272843
8.0,506,1749.353378
10.0,507,1754.24298
9.0,512,1759.23114
3.0,511,1764.22376
14.0,506,1769.219906
7.0,508,1774.318995
5.0,509,1779.228611
9.0,507,1784.210601
9.0,506,1789.056091
7.0,511,1794.089056
6.0,509,1799.062181
8.0,506,1804.123425
5.0,511,1809.28648
10.0,506,1814.591941
10.0,509,1819.578454
7.0,505,1824.696695
12.0,505,1829.685299
7.0,509,1834.951509
11.0,505,1839.714553
10.0,510,1844.512309
8.0,505,1849.212023
10.0,510,1854.390252
9.0,512,1859.234708
13.0,510,1864.198639
6.0,511,1868.907251
9.0,507,1873.76794
9.0,509,1878.595098
9.0,507,1883.469986
8.0,512,1888.193218
9.0,508,1893.06583
10.0,505,1897.80414
12.0,509,1902.704815
11.0,508,1907.377706
11.0,505,1912.177558
11.0,509,1917.007829
11.0,512,1921.957093
10.0,510,1926.651622
13.0,511,1931.537841
9.0,510,1936.195693
10.0,510,1941.167366
9.0,511,1945.883951
13.0,509,1950.721863
13.0,509,1955.609472
11.0,508,1960.479025
10.0,512,1965.293761
8.0,508,1970.002262
10.0,511,1974.8255
14.0,506,1979.462518
14.0,507,1984.416891
9.0,507,1989.519583
8.0,511,1994.555507
10.0,509,1999.297195
5.0,508,2004.175753
13.0,510,2008.961944
6.0,509,2014.019582
9.0,506,2018.722137
14.0,512,2023.569434
8.0,510,2028.394114
13.0,505,2033.110476
7.0,509,2037.923277
11.0,507,2042.851758
11.0,508,2047.647154
9.0,509,2052.523643
10.0,508,2057.470419
10.0,510,2062.500967
7.0,510,2067.530326
13.0,507,2072.604547
11.0,506,2077.6407
10.0,511,2083.514567
13.0,505,2089.247105
9.0,510,2094.845704
6.0,508,2099.944137
