rollout/ep_len_mean,rollout/exploration_rate,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/time_elapsed,train/n_updates,train/loss,train/learning_rate
20.3,0.9878200000000001,7648,20.3,203,10,0,,,
23.05,0.97234,6624,23.05,461,20,0,,,
21.433333333333334,0.9614199999999997,6617,21.433333333333334,643,30,0,,,
21.7,0.9479199999999999,6714,21.7,868,40,0,,,
21.08,0.93676,1350,21.08,1054,50,0,128,0.019869758761160483,0.0023
21.1,0.92404,1499,21.1,1266,60,0,,,
21.385714285714286,0.9101799999999998,908,21.385714285714286,1497,70,1,256,0.0367893665243173,0.0023
22.05,0.8941600000000001,764,22.05,1764,80,2,384,0.06640919118672173,0.0023
23.544444444444444,0.8728599999999997,601,23.544444444444444,2119,90,3,640,0.07847746132028988,0.0023
24.06,0.8556400000000002,592,24.06,2406,100,4,768,0.09232636544038542,0.0023
24.83,0.83884,572,24.83,2686,110,4,896,0.10267282472705119,0.0023
24.21,0.8270800000000003,567,24.21,2882,120,5,1024,0.11496115934642148,0.0023
25.17,0.8104000000000002,575,25.17,3160,130,5,1152,0.1281408320501214,0.0023
25.05,0.7976199999999998,574,25.05,3373,140,5,1280,0.1288255094041233,0.0023
25.87,0.7815399999999997,577,25.87,3641,150,6,1408,0.1488821104503586,0.0023
26.16,0.7670800000000002,567,26.16,3882,160,6,1536,0.18800117371210945,0.0023
27.8,0.7433800000000002,574,27.8,4277,170,7,1664,0.17719544065766968,0.0023
29.81,0.7153,567,29.81,4745,180,8,1920,0.2133088760310784,0.0023
31.24,0.6854200000000001,563,31.24,5243,190,9,2176,0.22134658546565333,0.0023
31.14,0.6687999999999998,564,31.14,5520,200,9,2304,0.23576738858173485,0.0023
30.68,0.6547599999999998,561,30.68,5754,210,10,2432,0.26520484263892286,0.0023
31.73,0.6367,565,31.73,6055,220,10,2560,0.2945556914637564,0.0023
31.68,0.62032,563,31.68,6328,230,11,2688,0.3171726751024835,0.0023
