rollout/ep_len_mean,rollout/exploration_rate,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/time_elapsed,train/n_updates,train/loss,train/learning_rate
19.5,0.9219999999999999,10237,19.5,195,10,0,,,
22.8,0.8176000000000001,10115,22.8,456,20,0,,,
22.266666666666666,0.7328000000000001,10337,22.266666666666666,668,30,0,,,
21.4,0.6575999999999997,9935,21.4,856,40,0,,,
23.74,0.5252000000000003,2125,23.74,1187,50,0,128,0.135342714053877,0.0023
23.216666666666665,0.4428000000000001,1159,23.216666666666665,1393,60,1,256,0.05682569912960389,0.0023
21.557142857142857,0.39639999999999986,1197,21.557142857142857,1509,70,1,,,
20.6125,0.34040000000000004,904,20.6125,1649,80,1,384,0.09261291450457065,0.0023
21.6,0.2224000000000005,835,21.6,1944,90,2,512,0.12202639636598178,0.0023
25.03,0.04,773,25.03,2503,100,3,768,0.15865666918398347,0.0023
27.5,0.04,678,27.5,2945,110,4,1024,0.2117285969434306,0.0023
35.98,0.04,674,35.98,4054,120,6,1536,0.27029293429586687,0.0023
60.39,0.04,620,60.39,6707,130,10,2944,0.28553687073508627,0.0023
82.09,0.04,630,82.09,9065,140,14,4096,0.4110773846769007,0.0023
102.71,0.04,635,102.71,11458,150,18,5248,0.4192816848590155,0.0023
120.8,0.04,643,120.8,13473,160,20,6272,0.5813868058830849,0.0023
